"Site_ID","Percent_Bleaching","Temperature_Mean","Turbidity","Cyclone_Frequency","Ecoregion_Name","Distance_to_Shore"
9160,"51.4","299.73","0.1636",58.01,"Bahamas and Florida Keys","3920.39"
8952,"52","299.75","0.1093",55.99,"Bahamas and Florida Keys","6212.5"
9162,"52.2","299.74","0.0609",51.35,"Bahamas and Florida Keys","1415.91"
8578,"53.3","299.75","0.0609",51.35,"Bahamas and Florida Keys","1320"
8953,"54.3","299.85","0.0999",57.13,"Bahamas and Florida Keys","9724.38"
8954,"55","299.83","0.1491",58.01,"Bahamas and Florida Keys","5138.98"
9163,"56.3","299.8","0.1711",60.51,"Bahamas and Florida Keys","5287.21"
1340,"56.5","299.83","0.0444",54.14,"Bahamas and Florida Keys","1228.21"
1341,"57.1","299.83","0.0401",51.1,"Bahamas and Florida Keys","373.08"
9164,"57.1","299.82","0.1203",58.42,"Bahamas and Florida Keys","8274.36"
9165,"57.6","299.82","0.0532",58.42,"Bahamas and Florida Keys","8179.06"
8955,"58.6","299.91","0.0608",57.28,"Bahamas and Florida Keys","4741.47"
1341,"58.8","299.83","0.0401",51.1,"Bahamas and Florida Keys","373.08"
8956,"59.4","299.81","0.1005",60.51,"Bahamas and Florida Keys","4726.2"
8957,"59.5","299.83","0.1636",58.01,"Bahamas and Florida Keys","5820.23"
9166,"59.5","299.8","0.1711",60.51,"Bahamas and Florida Keys","4457.21"
1341,"60","299.83","0.0401",51.1,"Bahamas and Florida Keys","373.08"
9167,"60","299.75","0.0609",51.35,"Bahamas and Florida Keys","427.7"
8958,"60.4","299.83","0.1636",58.01,"Bahamas and Florida Keys","4930.39"
9168,"61.3","299.75","0.1550",54.86,"Bahamas and Florida Keys","4499.93"
8959,"61.9","299.89","0.0766",62.25,"Bahamas and Florida Keys","7950.11"
8960,"62.3","299.86","0.0818",57.28,"Bahamas and Florida Keys","7934.4"
1340,"62.5","299.83","0.0444",54.14,"Bahamas and Florida Keys","1228.21"
1341,"62.5","299.83","0.0401",51.1,"Bahamas and Florida Keys","373.08"
8961,"62.7","299.77","0.1629",58.32,"Bahamas and Florida Keys","4586.13"
8962,"63.3","299.85","0.0999",57.13,"Bahamas and Florida Keys","9346.75"
9143,"63.6","299.76","0.0608",57.28,"Bahamas and Florida Keys","4678.1"
9169,"63.9","299.88","0.0745",60.51,"Bahamas and Florida Keys","8165.13"
9170,"64.3","299.85","0.0627",62.54,"Bahamas and Florida Keys","7631.67"
8963,"65","299.83","0.1491",58.01,"Bahamas and Florida Keys","4859.98"
8964,"65.6","299.83","0.1636",58.01,"Bahamas and Florida Keys","3727.92"
9171,"65.6","299.91","0.0608",57.28,"Bahamas and Florida Keys","7558.08"
9172,"66.1","299.76","0.0608",57.28,"Bahamas and Florida Keys","3865.92"
1339,"66.7","299.83","0.0444",54.14,"Bahamas and Florida Keys","213.84"
1340,"66.7","299.83","0.0444",54.14,"Bahamas and Florida Keys","1228.21"
1340,"66.7","299.83","0.0444",54.14,"Bahamas and Florida Keys","1228.21"
8965,"66.7","299.87","0.0889",62.59,"Bahamas and Florida Keys","6651.81"
9110,"66.7","299.84","0.1005",60.51,"Bahamas and Florida Keys","7920.23"
9173,"66.7","299.85","0.0999",57.13,"Bahamas and Florida Keys","8860.29"
1340,"67.9","299.83","0.0444",54.14,"Bahamas and Florida Keys","1228.21"
9176,"68.8","299.91","0.0565",62.62,"Bahamas and Florida Keys","6927.91"
8966,"69.4","299.76","0.0608",57.28,"Bahamas and Florida Keys","4646.87"
8967,"69.4","299.39","0.4058",64.49,"Bahamas and Florida Keys","15058.81"
8968,"70","299.7","0.1553",62.25,"Bahamas and Florida Keys","1046.44"
8969,"70.7","299.83","0.0932",57.93,"Bahamas and Florida Keys","3763.29"
